,id,population_mean,region,district,year
2742,831489323,16,43,500011,2019
11452,831446968,39,43,500011,2019
16337,831510805,37,43,500011,2019
21228,831402733,2,43,500011,2019
27794,831396666,4,43,500011,2019
37548,831425650,18,43,500011,2019
44526,831425653,2,43,500011,2019
48749,831489328,1868,43,500011,2019
3777,878797427,38,43,500011,2020
10527,878797648,50,43,500011,2020
14646,878804977,48,43,500011,2020
24806,878902331,-20,43,500011,2020
29890,878800648,-18,43,500011,2020
37971,878902330,18,43,500011,2020
39798,878829543,2,43,500011,2020
46340,878829545,1876,43,500011,2020
668,831397260,17,43,500020,2019
11160,831466765,41,43,500020,2019
17768,831466766,36,43,500020,2019
23133,831488161,-9,43,500020,2019
26991,831390158,-4,43,500020,2019
33246,831382701,8,43,500020,2019
43957,831466767,5,43,500020,2019
49345,831488163,1219,43,500020,2019
4821,878878126,17,43,500020,2020
11693,878902335,48,43,500020,2020
18237,878902337,26,43,500020,2020
23525,878784295,-6,43,500020,2020
30113,878792259,16,43,500020,2020
37972,878902333,11,43,500020,2020
41942,878853835,22,43,500020,2020
48506,878801303,1235,43,500020,2020
2643,831391695,14,43,500046,2019
8189,831404740,34,43,500046,2019
14171,831389556,46,43,500046,2019
21738,831395504,3,43,500046,2019
31821,831447592,-9,43,500046,2019
35744,831511433,17,43,500046,2019
44887,831447591,-12,43,500046,2019
52041,831489950,1709,43,500046,2019
1129,878805446,18,43,500046,2020
11199,878790276,56,43,500046,2020
17587,878788411,28,43,500046,2020
22365,878799981,-8,43,500046,2020
31377,878902342,20,43,500046,2020
33231,878829549,10,43,500046,2020
42906,878788873,28,43,500046,2020
51065,878902343,1724,43,500046,2020
5161,831467457,17,43,500062,2019
7769,831398582,64,43,500062,2019
13592,831395039,43,43,500062,2019
22851,831510358,2,43,500062,2019
31342,831467458,23,43,500062,2019
37468,831467456,19,43,500062,2019
40287,831404687,21,43,500062,2019
46845,831403263,2004,43,500062,2019
592,878829554,27,43,500062,2020
7156,878829555,69,43,500062,2020
16765,878796224,43,43,500062,2020
21744,878804790,-8,43,500062,2020
31378,878902348,18,43,500062,2020
33232,878829552,19,43,500062,2020
39951,878829557,26,43,500062,2020
49543,878787551,2038,43,500062,2020
5824,831467513,11,43,500071,2019
8666,831400374,33,43,500071,2019
18880,831467514,37,43,500071,2019
23857,831425258,10,43,500071,2019
26313,831399004,6,43,500071,2019
36494,831425257,21,43,500071,2019
45493,831488930,-4,43,500071,2019
49228,831510413,1753,43,500071,2019
1130,878805451,19,43,500071,2020
6749,878853845,31,43,500071,2020
15817,878799664,40,43,500071,2020
24807,878902350,-5,43,500071,2020
29070,878802059,-14,43,500071,2020
37229,878732900,14,43,500071,2020
44839,878902353,-9,43,500071,2020
48661,878787904,1742,43,500071,2020
2069,831389378,1,43,500101,2019
11468,831455763,9,43,500101,2019
18044,831455764,11,43,500101,2019
19999,831400676,3,43,500101,2019
29654,831498272,1,43,500101,2019
38554,831434512,4,43,500101,2019
40098,831401572,-2,43,500101,2019
47038,831413573,226,43,500101,2019
593,878829563,3,43,500101,2020
7157,878829564,12,43,500101,2020
18563,878902357,8,43,500101,2020
23011,878792897,2,43,500101,2020
28892,878794814,6,43,500101,2020
37230,878732906,5,43,500101,2020
40476,878805456,4,43,500101,2020
46488,878829566,222,43,500101,2020
5545,831476747,4,43,500127,2019
7697,831413593,7,43,500127,2019
14854,831388329,3,43,500127,2019
20793,831413592,-1,43,500127,2019
29821,831498288,3,43,500127,2019
32944,831359400,3,43,500127,2019
41568,831392711,4,43,500127,2019
49418,831498289,162,43,500127,2019
5048,878878137,1,43,500127,2020
11648,878878139,8,43,500127,2020
16798,878799328,10,43,500127,2020
24249,878788832,4,43,500127,2020
30793,878797921,2,43,500127,2020
37223,878732915,5,43,500127,2020
44484,878878140,-2,43,500127,2020
46489,878829570,164,43,500127,2020
621,831393152,2,43,500135,2019
11287,831444750,11,43,500135,2019
17091,831465728,17,43,500135,2019
24393,831444749,2,43,500135,2019
29944,831423491,-4,43,500135,2019
33934,831380484,4,43,500135,2019
41631,831405765,-6,43,500135,2019
48680,831508569,224,43,500135,2019
199,878853853,4,43,500135,2020
11210,878795794,12,43,500135,2020
13739,878829574,2,43,500135,2020
20256,878829573,-3,43,500135,2020
26826,878829576,7,43,500135,2020
33233,878829572,1,43,500135,2020
40477,878805459,10,43,500135,2020
46084,878853856,229,43,500135,2020
4860,831487779,0,43,500151,2019
7136,831387471,15,43,500151,2019
19193,831445457,3,43,500151,2019
21877,831391335,0,43,500151,2019
30053,831466410,12,43,500151,2019
34615,831381926,0,43,500151,2019
39827,831396210,12,43,500151,2019
47348,831402595,117,43,500151,2019
5424,878902367,0,43,500151,2020
11743,878878147,8,43,500151,2020
18301,878878148,8,43,500151,2020
20613,878804898,1,43,500151,2020
31710,878902369,1,43,500151,2020
36450,878732936,1,43,500151,2020
43904,878794777,0,43,500151,2020
46490,878829579,120,43,500151,2020
5458,831444809,7,43,500160,2019
6587,831388460,19,43,500160,2019
16134,831508636,15,43,500160,2019
22648,831508635,1,43,500160,2019
28451,831391301,5,43,500160,2019
36957,831465786,8,43,500160,2019
42337,831508637,4,43,500160,2019
50058,831423547,608,43,500160,2019
594,878829580,6,43,500160,2020
11744,878878158,17,43,500160,2020
15713,878802603,19,43,500160,2020
20767,878805462,5,43,500160,2020
29925,878786761,3,43,500160,2020
38030,878878154,11,43,500160,2020
43387,878799130,-2,43,500160,2020
49412,878791410,593,43,500160,2020
4963,831452341,3,43,500194,2019
6616,831395300,12,43,500194,2019
15606,831391962,1,43,500194,2019
21979,831410155,0,43,500194,2019
30151,831430951,11,43,500194,2019
37264,831452340,3,43,500194,2019
39434,831398110,11,43,500194,2019
48212,831410157,213,43,500194,2019
595,878829586,3,43,500194,2020
10231,878794969,10,43,500194,2020
14245,878805466,7,43,500194,2020
20670,878829587,-1,43,500194,2020
26869,878853864,2,43,500194,2020
32851,878853861,2,43,500194,2020
42741,878787245,3,43,500194,2020
46529,878853867,224,43,500194,2020
1859,831387580,31,43,500259,2019
11285,831447683,43,43,500259,2019
13430,831397951,61,43,500259,2019
23957,831468541,-9,43,500259,2019
29070,831490037,-27,43,500259,2019
36613,831468538,22,43,500259,2019
41591,831393588,-18,43,500259,2019
50766,831426330,2013,43,500259,2019
1008,878829591,26,43,500259,2020
7200,878853871,43,43,500259,2020
18302,878878162,38,43,500259,2020
20671,878829592,-4,43,500259,2020
31440,878878164,1,43,500259,2020
36531,878732957,22,43,500259,2020
40386,878829593,5,43,500259,2020
46936,878829594,1985,43,500259,2020
2962,831490361,34,43,500291,2019
9486,831490363,57,43,500291,2019
13853,831399630,80,43,500291,2019
22610,831490362,-10,43,500291,2019
31420,831426637,-33,43,500291,2019
37551,831426634,24,43,500291,2019
41083,831397655,-23,43,500291,2019
48804,831490366,2940,43,500291,2019
2941,878796421,30,43,500291,2020
11745,878878170,52,43,500291,2020
18303,878878171,47,43,500291,2020
23669,878801471,-17,43,500291,2020
31441,878878173,-12,43,500291,2020
33281,878853873,13,43,500291,2020
41843,878805354,5,43,500291,2020
46530,878853875,2912,43,500291,2020
2422,831398716,1016,43,500496,2019
9596,831508673,2688,43,500496,2019
15156,831404512,2646,43,500496,2019
24801,831465828,98,43,500496,2019
29287,831508674,140,43,500496,2019
36313,831487182,1114,43,500496,2019
43348,831487184,42,43,500496,2019
49866,831487185,100576,43,500496,2019
5160,878878176,1196,43,500496,2020
7676,878805473,2411,43,500496,2020
14246,878805474,2466,43,500496,2020
20302,878853876,-94,43,500496,2020
29218,878804294,-149,43,500496,2020
33787,878805472,1102,43,500496,2020
40387,878829596,-55,43,500496,2020
